ulasan,sentimen
buat aku pribadi kurang menarik menurutku,Negatif
warnanya lumayan sih,Netral
sejujurnya terlalu biasa tapi jadi suka,Positif
awalnya oke tapi masih standar,Netral
looknya lumayan jujur,Positif
awalnya kurang yakin tapi ternyata kereen menurutku,Positif
modelnya oke tapi tetap terlihat menarik,Positif
kombinasi warnanya membosankan,Negatif
buat saya pribadi kurang cocok tapi jadi suka sih,Positif
awalnya lumayan tapi ga buruk juga jujur,Netral
kesan pertama estetik tapi ternyata kurang menarik jujur,Negatif
modelnya membosankan menurutku,Negatif
desainnya unik tapi tetap terlihat menarikk jujur,Positif
jujur biasa aja tapi makin menarikk haha,Positif
buat saya pribadi kurang cocok tapi ternyata keren,Positif
biasanya aku kurang suka model begini tapi yang ini menarik,Positif
buat saya pribadi kurang menarik menurutku,Negatif
pas pertama lihat kurang estetik tapi jadi pengen coba sih,Positif
menarik sih tapi ga buruk juga jujur,Netral
gw masih belum suka model seperti ini imo,Negatif
buat saya pribadi biasa aja tapi jadi suka,Positif
warnanya menarik wkwk,Positif
awalnya kurang yakin tapi malah estetik,Positif
stylenya bagus imo,Positif
konsepnya terlihat oke tapi belum tentu saya pakai haha,Netral
saya masih belum suka model seperti ini,Negatif
awalnya kurang yakin tapi makin menarikk wkwk,Positif
stylenya membosankan,Negatif
awalnya kurang yakin tapi malah estetik jujur,Positif
outfitnya oke menurutku,Netral
setelah beberapa kali lihat kurang cocok tapi malah estetik haha,Positif
buat saya pribadi biasa aja tapi ternyata cocok haha,Positif
banyak yang bilang keren tapi kurang cocok sih,Negatif
awalnya suka tapi kurang masuk di saya,Negatif
outfitnya unik tapi menurut saya kurang cocok jujur,Negatif
looknya agak monoton,Negatif
awalnya kurang yakin tapi ternyata keren,Positif
jujur kurang estetik tapi makin dilihat makin menarik haha,Positif
kombinasi warnanya menarik jujur,Netral
warnanya estetik haha,Netral
modelnya cukup bagus tapi menurut saya kurang cocok jujur,Negatif
saya masih belum suka model seperti ini,Negatif
sulit bilang bagus atau tidak menurutku,Netral
sejujurnya biasa aja tapi ternyata keren sih,Positif
warnanya lumayan,Netral
warnanya lumayan tapi ga buruk juga menurutku,Netral
belum punya pendapat khusus,Netral
kombinasi warnanya terlihat oke tapi masih standar menurutku,Netral
biasanya saya kurang suka model begini tapi yang ini menarik,Positif
awalnya estetik tapi jadi biasa aja haha,Negatif
banyak yang bilang keren tapi kurang masuk di saya,Negatif
saya pribadi suka konsepnya menurutku,Positif
saya masih netral melihatnya menurutku,Netral
sejujurnya biasa aja tapi makin menarik,Positif
masih biasa aja menurut saya jujur,Netral
awalnya kurang yakin tapi ternyata cocok haha,Positif
ga jelek tapi juga tidak spesial menurutku,Netral
awalnya suka tapi terasa monoton,Negatif
pas pertama lihat cukup bagus tapi jadi biasa aja imo,Negatif
modelnya kurang estetik wkwk,Negatif
waktu pertama lihat biasa aja tapi ternyata keren sih,Positif
pas pertama lihat membosankan tapi makin menarik,Positif
awalnya kurang yakin tapi ternyata cocok haha,Positif
menarik sih tapi tergantung selera,Netral
looknya cukup bagus tapi tergantung selera jujur,Netral
looknya lumayan wkwk,Netral
saya masih belum suka model seperti ini imo,Negatif
makin dilihat makin cocok jujur,Positif
sejujurnya biasa aja tapi jadi pengen coba menurutku,Positif
outfitnya bagus tapi tetap terlihat menarik wkwk,Positif
sejujurnya biasa aja tapi makin menarik imo,Positif
modelnya menarik tapi menurut saya membosankan wkwk,Negatif
setelah beberapa kali lihat oke tapi biasa aja menurut gue menurutku,Netral
konsepnya bagus tapi tetap terlihat menarik,Positif
pas pertama lihat menarik tapi kurang cocok,Negatif
desainnya lumayan haha,Netral
buat saya pribadi kurang menarik haha,Negatif
entah kenapa biasa aja tapi ternyata keren wkwk,Positif
banyak yang suka tapi saya kurang tertarik haha,Negatif
outfitnya terlalu biasa wkwk,Negatif
modelnya menarikk tapi belum tentu aku pakai jujur,Netral
buat saya pribadi kurang menarikk haha,Negatif
waktu pertama lihat membosankan tapi ternyata cocok jujur,Positif
looknya menarik tapi biasa aja menurut saya jujur,Netral
awalnya kurang yakin tapi malah estetik,Positif
saya paham kenapa banyak yang suka tapi kurang cocok buat gw jujur,Negatif
masih biasa aja menurut saya,Netral
pas pertama lihat kurang menarik tapi makin menarik imo,Positif
buat gue pribadi terlalu biasa tapi ternyata bagus juga sih,Positif
modelnya membosankan wkwk,Negatif
kombinasi warnanya keren tapi tergantung selera,Netral
outfitnya oke jujur,Positif
konsepnya menarik tapi tetap terlihat menarik sih,Positif
menarikk sih tapi masih standar menurutku,Netral
sulit bilang bagus atau tidak wkwk,Netral
kalau menurut saya biasa aja tapi malah estetik wkwk,Positif
mungkin cocok buat orang lain tapi bukan saya,Negatif
masih biasa aja menurut aku,Netral
jujur keren tapi terasa monoton,Negatif
awalnya kurang yakin tapi jadi pengen coba menurutku,Positif
ga nyangka ternyata baguss sih,Positif
outfitnya unik tapi belum tentu saya pakai haha,Netral
waktu pertama lihat terlalu biasa tapi ternyata bagus juga,Positif
konsepnya lumayan,Positif
entah kenapa terlalu biasa tapi makin dilihat makin menarik imo,Positif
konsepnya baguss,Positif
waktu pertama lihat kurang menarik tapi makin dilihat makin menarik wkwk,Positif
konsepnya terlihat oke tapi tergantung selera,Netral
banyak yang bilang kereen tapi jadi biasa aja,Negatif
awalnya kurang yakin tapi jadi pengen coba,Positif
looknya baguss sih,Positif
modelnya menarik tapi tergantung selera,Netral
banyak yang bilang keren tapi jadi biasa aja jujur,Negatif
awalnya baguss tapi kurang masuk di saya menurutku,Negatif
gue masih belum suka model seperti ini,Negatif
gw pribadi suka konsepnya,Positif
desainnya membosankan haha,Negatif
stylenya lumayan tapi menurut aku kurang cocok jujur,Negatif
desainnya estetik tapi tetap terlihat menarik,Positif
stylenya unik,Positif
modelnya oke jujur,Positif
konsepnya cukup bagus tapi menurut saya agak monoton sih,Negatif
awalnya suka tapi ternyata kurang menarikk imo,Negatif
banyak yang bilang keren tapi jadi biasa aja menurutku,Negatif
saya paham kenapa banyak yang suka tapi kurang cocok buat saya,Negatif
sejujurnya oke tapi kurang cocok jujur,Negatif
buat gw pribadi terlalu biasa tapi malah estetik haha,Positif
looknya oke tapi tergantung selera,Netral
entah kenapa jadi tertarik,Positif
konsepnya terlihat oke tapi ga ada yang spesial menurutku,Netral
kesan pertama estetik tapi ternyata kurang menarikk,Negatif
waktu pertama lihat agak monoton tapi makin dilihat makin menarikk menurutku,Positif
tidak jelek tapi juga tidak spesial menurutku,Netral
kombinasi warnanya menarik tapi menurut saya membosankan,Negatif
warnanya keren tapi biasa aja menurut saya imo,Netral
buat saya pribadi membosankan tapi jadi suka imo,Positif
banyak yang bilang keren tapi ternyata kurang menarikk sih,Negatif
awalnya unik tapi makin membosankan sih,Negatif
sejujurnya oke tapi makin membosankan haha,Negatif
aku masih netral melihatnya jujur,Netral
waktu pertama lihat lumayan tapi makin membosankan,Negatif
looknya terlalu biasa,Negatif
awalnya suka tapi kurang cocok,Negatif
saya paham kenapa banyak yang suka tapi kurang cocok buat gue menurutku,Negatif
warnanya oke sih,Netral
buat saya pribadi biasa aja tapi ternyata krn jujur,Positif
kombinasi warnanya keren tapi biasa aja menurut aku,Netral
